"last_name, first_name","player_id","year","xba","xslg","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","barrel_batted_rate",""
"Suarez, Eugenio","553993","2023",".223",".423",".328",".318",".199","90.3","18.9",13.2,
"Torres, Gleyber","650402","2023",".280",".474",".361",".356",".193","89.7","15.1",7.9,
"Gimenez, Andres","665926","2023",".245",".371",".300",".309",".125","84.8","13.1",5.5,
"Varsho, Daulton","662139","2023",".232",".391",".303",".297",".160","87.8","20.5",7.3,
"Reynolds, Bryan","668804","2023",".278",".488",".359",".345",".210","90.9","10.9",11.1,
"Contreras, William","661388","2023",".253",".432",".336",".336",".180","91.3","4.7",9.4,
"McNeil, Jeff","643446","2023",".246",".333",".290",".312",".087","86","14.4",1.3,
"Canha, Mark","592192","2023",".246",".377",".322",".343",".131","87.9","13.1",4.7,
"France, Ty","664034","2023",".266",".413",".339",".351",".147","87.5","13.7",6.8,
"Kwan, Steven","680757","2023",".282",".356",".318",".354",".074","86","10.7",1.1,
"Nimmo, Brandon","607043","2023",".264",".453",".355",".356",".190","91.8","12.2",9.5,
